Designator,Mid X,Mid Y,Rotation,Layer
C1,79.681759,-76.3909,180.0000,top
C1,123.181759,-32.3909,180.0000,top
C1,123.181759,-76.3909,180.0000,top
C1,79.681759,-32.3909,180.0000,top
C2,123.189000,-35.3000,180.0000,top
C2,123.189000,-79.3000,180.0000,top
C2,79.689000,-79.3000,180.0000,top
C2,79.689000,-35.3000,180.0000,top
C3,91.590000,-80.0000,0.0000,top
C3,48.090000,-36.0000,0.0000,top
C3,48.090000,-80.0000,0.0000,top
C3,91.590000,-36.0000,0.0000,top
C4,91.600000,-63.7300,0.0000,top
C4,48.100000,-19.7300,0.0000,top
C4,48.100000,-63.7300,0.0000,top
C4,91.600000,-19.7300,0.0000,top
C5,74.450000,-36.8250,180.0000,top
C5,74.450000,-80.8250,180.0000,top
C5,117.950000,-36.8250,180.0000,top
C5,117.950000,-80.8250,180.0000,top
D1,109.250000,-37.4000,90.0000,top
D1,109.250000,-81.4000,90.0000,top
D1,65.750000,-81.4000,90.0000,top
D1,65.750000,-37.4000,90.0000,top
Q1,74.480000,-74.4800,0.0000,top
Q1,74.480000,-30.4800,0.0000,top
Q1,117.980000,-30.4800,0.0000,top
Q1,117.980000,-74.4800,0.0000,top
R1,123.171759,-29.3409,180.0000,top
R1,79.671759,-73.3409,180.0000,top
R1,79.671759,-29.3409,180.0000,top
R1,123.171759,-73.3409,180.0000,top
R2,123.141759,-38.4409,180.0000,top
R2,79.641759,-38.4409,180.0000,top
R2,123.141759,-82.4409,180.0000,top
R2,79.641759,-82.4409,180.0000,top
R3,91.590000,-39.1750,0.0000,top
R3,91.590000,-83.1750,0.0000,top
R3,48.090000,-39.1750,0.0000,top
R3,48.090000,-83.1750,0.0000,top
R4,91.550000,-60.5550,0.0000,top
R4,91.550000,-16.5550,0.0000,top
R4,48.050000,-16.5550,0.0000,top
R4,48.050000,-60.5550,0.0000,top
R5,117.945000,-39.9000,180.0000,top
R5,74.445000,-39.9000,180.0000,top
R5,117.945000,-83.9000,180.0000,top
R5,74.445000,-83.9000,180.0000,top
R6,74.450000,-77.9500,0.0000,top
R6,74.450000,-33.9500,0.0000,top
R6,117.950000,-77.9500,0.0000,top
R6,117.950000,-33.9500,0.0000,top
S1,77.500000,-55.0000,0.0000,top
S1,121.000000,-55.0000,0.0000,top
S1,77.500000,-11.0000,0.0000,top
S1,121.000000,-11.0000,0.0000,top
S2,121.000000,-89.0000,0.0000,top
S2,77.500000,-45.0000,0.0000,top
S2,77.500000,-89.0000,0.0000,top
S2,121.000000,-45.0000,0.0000,top
S3,50.500000,-89.0000,0.0000,top
S3,94.000000,-89.0000,0.0000,top
S3,94.000000,-45.0000,0.0000,top
S3,50.500000,-45.0000,0.0000,top
S4,50.500000,-11.0000,180.0000,top
S4,94.000000,-11.0000,180.0000,top
S4,94.000000,-55.0000,180.0000,top
S4,50.500000,-55.0000,180.0000,top
S5,64.000000,-28.0000,90.0000,top
S5,64.000000,-72.0000,90.0000,top
S5,107.500000,-72.0000,90.0000,top
S5,107.500000,-28.0000,90.0000,top
S6,50.500000,-28.0000,90.0000,top
S6,94.000000,-28.0000,90.0000,top
S6,50.500000,-72.0000,90.0000,top
S6,94.000000,-72.0000,90.0000,top
