Designator,Mid X,Mid Y,Rotation,Layer
C1,82.5000,-78.5000,0.0000,top
C1,125.7500,-34.7500,0.0000,top
C1,82.5000,-34.5000,0.0000,top
C1,125.7500,-78.7500,0.0000,top
C3,25.5000,-30.0000,180.0000,top
C3,116.2500,-41.0000,-90.0000,top
C3,116.2500,-85.0000,-90.0000,top
C3,25.5000,-74.0000,180.0000,top
C4,126.7500,-91.5000,180.0000,top
C4,73.5000,-46.5000,180.0000,top
C4,126.7500,-47.5000,180.0000,top
C4,73.5000,-90.5000,180.0000,top
C5,83.1625,-74.5000,0.0000,top
C5,98.5000,-53.0000,180.0000,top
C5,98.5000,-97.0000,180.0000,top
C5,83.1625,-30.5000,0.0000,top
C6,35.0000,-30.5000,180.0000,top
C6,35.0000,-74.5000,180.0000,top
C6,111.5000,-78.0000,0.0000,top
C6,111.5000,-34.0000,0.0000,top
C7,25.5000,-96.0000,180.0000,top
C7,126.7500,-29.0000,0.0000,top
C7,126.7500,-73.0000,0.0000,top
C7,25.5000,-52.0000,180.0000,top
C8,55.0000,-51.8000,0.0000,top
C8,55.0000,-95.8000,0.0000,top
C8,111.5000,-48.2500,0.0000,top
C8,111.5000,-92.2500,0.0000,top
C9,73.5375,-94.0000,0.0000,top
C9,98.5000,-50.0000,0.0000,top
C9,98.5000,-94.0000,0.0000,top
C9,73.5375,-50.0000,0.0000,top
C10,35.0000,-34.5000,0.0000,top
C10,126.7500,-53.0000,180.0000,top
C10,126.7500,-97.0000,180.0000,top
C10,35.0000,-78.5000,0.0000,top
D1,100.1750,-43.7000,0.0000,top
D1,82.9750,-94.0000,0.0000,top
D1,100.1750,-87.7000,0.0000,top
D1,82.9750,-50.0000,0.0000,top
FR1,76.4875,-78.5000,180.0000,top
FR1,76.4875,-34.5000,180.0000,top
FR1,119.9875,-34.7500,180.0000,top
FR1,119.9875,-78.7500,180.0000,top
J1,43.5000,-50.5250,-90.0000,top
J1,99.7100,-75.7500,90.0000,top
J1,99.7100,-31.7500,90.0000,top
J1,43.5000,-94.5250,-90.0000,top
R9,55.0000,-93.0000,180.0000,top
R9,126.7000,-94.2000,0.0000,top
R9,55.0000,-49.0000,180.0000,top
R9,126.7000,-50.2000,0.0000,top
R10,100.0750,-47.0500,0.0000,top
R10,100.0750,-91.0500,0.0000,top
R10,83.0000,-90.5000,0.0000,top
R10,83.0000,-46.5000,0.0000,top
SW1,98.0000,-58.0000,90.0000,top
SW1,81.5000,-24.0000,90.0000,top
SW1,81.5000,-68.0000,90.0000,top
SW1,98.0000,-102.0000,90.0000,top
SW2,54.5000,-24.0000,90.0000,top
SW2,54.5000,-68.0000,90.0000,top
SW2A,111.5000,-29.0000,180.0000,top
SW2B,111.5000,-73.0000,180.0000,top
SW3,125.0000,-24.0000,90.0000,top
SW3,125.0000,-68.0000,90.0000,top
SW3C,68.0000,-41.0000,-90.0000,top
SW3D,68.0000,-85.0000,-90.0000,top
SW4,81.5000,-102.0000,90.0000,top
SW4,98.0000,-68.0000,90.0000,top
SW4,81.5000,-58.0000,90.0000,top
SW4,98.0000,-24.0000,90.0000,top
SW5,125.0000,-58.0000,90.0000,top
SW5,125.0000,-102.0000,90.0000,top
SW5C,41.0000,-41.0000,90.0000,top
SW5D,41.0000,-85.0000,90.0000,top
SW6,54.5000,-102.0000,90.0000,top
SW6,54.5000,-58.0000,90.0000,top
SW6A,111.5000,-53.0000,0.0000,top
SW6B,111.5000,-97.0000,0.0000,top
SW7,27.5000,-102.0000,90.0000,top
SW7,27.5000,-58.0000,90.0000,top
SW7A,111.5000,-41.0000,90.0000,top
SW7B,111.5000,-85.0000,90.0000,top
SW8,125.0000,-41.0000,180.0000,top
SW8,81.5000,-41.0000,180.0000,top
SW8,81.5000,-85.0000,180.0000,top
SW8,125.0000,-85.0000,180.0000,top
SW9,27.5000,-68.0000,90.0000,top
SW9,27.5000,-24.0000,90.0000,top
SW10,27.5000,-45.5000,180.0000,top
SW10,27.5000,-89.5000,180.0000,top
SW11,27.5000,-36.5000,0.0000,top
SW11,27.5000,-80.5000,0.0000,top
